value,description
CW404,P309 - IF exposed or if you feel unwell: P340 - Remove victim to fresh air and keep at rest in a position comfortable for breathing.
CW405,P332 - If skin irritation occurs: P350 - Gently wash with plenty of soap and water.
CW406,P302 - IF ON SKIN: P350 - Gently wash with plenty of soap and water.
CW407,P303 - IF ON SKIN (or hair): P350 - Gently wash with plenty of soap and water.
CW408,P306 - IF ON CLOTHING: P350 - Gently wash with plenty of soap and water.
CW409,P307 - IF exposed: P350 - Gently wash with plenty of soap and water.
CW410,P308 - IF exposed or concerned: P350 - Gently wash with plenty of soap and water.
CW411,P309 - IF exposed or if you feel unwell: P350 - Gently wash with plenty of soap and water.
CW412,P333 - If skin irritation or rash occurs: P351 - Rinse cautiously with water for several minutes.
CW413,P332 - If skin irritation occurs: P351 - Rinse cautiously with water for several minutes.
CW414,P302 - IF ON SKIN: P351 - Rinse cautiously with water for several minutes.
CW415,P303 - IF ON SKIN (or hair): P351 - Rinse cautiously with water for several minutes.
CW416,P305 - IF IN EYES: P351 - Rinse cautiously with water for several minutes.
CW417,P306 - IF ON CLOTHING: P351 - Rinse cautiously with water for several minutes.
CW418,P307 - IF exposed: P351 - Rinse cautiously with water for several minutes.
CW419,P308 - IF exposed or concerned: P351 - Rinse cautiously with water for several minutes.
CW420,P309 - IF exposed or if you feel unwell: P351 - Rinse cautiously with water for several minutes.
CW421,P332 - If skin irritation occurs: P352 - Wash with plenty of soap and water.
CW422,P302 - IF ON SKIN: P352 - Wash with plenty of soap and water.
CW423,P303 - IF ON SKIN (or hair): P352 - Wash with plenty of soap and water.
CW424,P306 - IF ON CLOTHING: P352 - Wash with plenty of soap and water.
CW425,P307 - IF exposed: P352 - Wash with plenty of soap and water.
CW426,P308 - IF exposed or concerned: P352 - Wash with plenty of soap and water.
CW427,P309 - IF exposed or if you feel unwell: P352 - Wash with plenty of soap and water.
CW428,P332 - If skin irritation occurs: P353 - Rinse skin with water/shower.
CW429,P302 - IF ON SKIN: P353 - Rinse skin with water/shower.
CW430,P303 - IF ON SKIN (or hair): P353 - Rinse skin with water/shower.
CW431,P306 - IF ON CLOTHING: P353 - Rinse skin with water/shower.
CW432,P307 - IF exposed: P353 - Rinse skin with water/shower.
CW433,P308 - IF exposed or concerned: P353 - Rinse skin with water/shower.
CW434,P309 - IF exposed or if you feel unwell: P353 - Rinse skin with water/shower.
CW435,P332 - If skin irritation occurs: P360 - Rinse immediately contaminated clothing and skin with plenty of water before removing clothes.
CW436,P302 - IF ON SKIN: P360 - Rinse immediately contaminated clothing and skin with plenty of water before removing clothes.
CW437,P303 - IF ON SKIN (or hair): P360 - Rinse immediately contaminated clothing and skin with plenty of water before removing clothes.
CW438,P306 - IF ON CLOTHING: P360 - Rinse immediately contaminated clothing and skin with plenty of water before removing clothes.
CW439,P307 - IF exposed: P360 - Rinse immediately contaminated clothing and skin with plenty of water before removing clothes.
CW440,P308 - IF exposed or concerned: P360 - Rinse immediately contaminated clothing and skin with plenty of water before removing clothes.
CW441,P309 - IF exposed or if you feel unwell: P360 - Rinse immediately contaminated clothing and skin with plenty of water before removing clothes.
CW442,P332 - If skin irritation occurs: P361 - Remove/Take off immediately all contaminated clothing.
CW443,P302 - IF ON SKIN: P361 - Remove/Take off immediately all contaminated clothing.
CW444,P303 - IF ON SKIN (or hair): P361 - Remove/Take off immediately all contaminated clothing.
CW445,P306 - IF ON CLOTHING: P361 - Remove/Take off immediately all contaminated clothing.
CW446,P307 - IF exposed: P361 - Remove/Take off immediately all contaminated clothing.
CW447,P308 - IF exposed or concerned: P361 - Remove/Take off immediately all contaminated clothing.
CW448,P309 - IF exposed or if you feel unwell: P361 - Remove/Take off immediately all contaminated clothing.
CW449,P332 - If skin irritation occurs: P362 - Take off contaminated clothing and wash before reuse.
CW450,P302 - IF ON SKIN: P362 - Take off contaminated clothing and wash before reuse.
CW451,P303 - IF ON SKIN (or hair): P362 - Take off contaminated clothing and wash before reuse.
CW452,P306 - IF ON CLOTHING: P362 - Take off contaminated clothing and wash before reuse.
CW453,P307 - IF exposed: P362 - Take off contaminated clothing and wash before reuse.
CW454,P308 - IF exposed or concerned: P362 - Take off contaminated clothing and wash before reuse.
CW455,P309 - IF exposed or if you feel unwell: P362 - Take off contaminated clothing and wash before reuse.
CW456,P332 - If skin irritation occurs: P363 - Wash contaminated clothing before reuse.
CW457,P302 - IF ON SKIN: P363 - Wash contaminated clothing before reuse.
CW458,P303 - IF ON SKIN (or hair): P363 - Wash contaminated clothing before reuse.
CW459,P306 - IF ON CLOTHING: P363 - Wash contaminated clothing before reuse.
CW460,P307 - IF exposed: P363 - Wash contaminated clothing before reuse.
CW461,P308 - IF exposed or concerned: P363 - Wash contaminated clothing before reuse.
CW462,P309 - IF exposed or if you feel unwell: P363 - Wash contaminated clothing before reuse.
CW463,P371 - In case of major fire and large quantities: P374 - Fight fire with normal precautions from a reasonable distance.
CW464,P371 - In case of major fire and large quantities: P375 - Fight fire remotely due to the risk of explosion.
CW465,P371 - In case of major fire and large quantities: P380 - Evacuate area.
CW466,P371 - In case of major fire and large quantities: P381 - Eliminate all ignition sources if safe to do so.
CW999,OTHER. It requires to provide additional free text with translations.
